Name,Symbol,,,,,,,,,,,,,,,,,,,,,,,
ABILITY,ABIL,,,,,,,,,,,,,,,,,,,,,,,
ABRA,ABRA,,,,,,,,,,,,,,,,,,,,,,,
ACCEL,ACCL,,,,,,,,,,,,,,,,,,,,,,,
ACKERSTEIN GRP.,ACKR,,,,,,,,,,,,,,,,,,,,,,,
ACRO KVUT,ACRO,,,,,,,,,,,,,,,,,,,,,,,
ADGAR INV.,ADGR,,,,,,,,,,,,,,,,,,,,,,,
AERODROME GROUP,ARDM,,,,,,,,,,,,,,,,,,,,,,,
AFCON HOLD,AFHL,,,,,,,,,,,,,,,,,,,,,,,
AFI PROPERTIES,AFPR,,,,,,,,,,,,,,,,,,,,,,,
AFRICA RESIDENC,AFRE,,,,,,,,,,,,,,,,,,,,,,,
AI SYSTEMS,AICS,,,,,,,,,,,,,,,,,,,,,,,
AIROBOTICS,AIRO,,,,,,,,,,,,,,,,,,,,,,,
AIRPORT CITY,ARPT,,,,,,,,,,,,,,,,,,,,,,,
AIRTOUCH,ARTS,,,,,,,,,,,,,,,,,,,,,,,
ALBAAD,ALBA,,,,,,,,,,,,,,,,,,,,,,,
ALLMED SOLUTION,ALMD,,,,,,,,,,,,,,,,,,,,,,,
ALLOT,ALLT,,,,,,,,,,,,,,,,,,,,,,,
ALMEDA      PU,AMDA,,,,,,,,,,,,,,,,,,,,,,,
ALMOGIM,ALMA,,,,,,,,,,,,,,,,,,,,,,,
ALON GAS,ALGS,,,,,,,,,,,,,,,,,,,,,,,
ALONY HETZ,ALHE,,,,,,,,,,,,,,,,,,,,,,,
ALROV PROPERT,ALRPR,,,,,,,,,,,,,,,,,,,,,,,
ALTSHULER FIN,ALTF,,,,,,,,,,,,,,,,,,,,,,,
ALUMA INFRASTR',ALUMA,,,,,,,,,,,,,,,,,,,,,,,
AMANET,AMAN,,,,,,,,,,,,,,,,,,,,,,,
AMIAD,AMD,,,,,,,,,,,,,,,,,,,,,,,
AMIR MARK.,AMRK,,,,,,,,,,,,,,,,,,,,,,,
AMOT,AMOT,,,,,,,,,,,,,,,,,,,,,,,
ANALYST,ANLT,,,,,,,,,,,,,,,,,,,,,,,
ANGEL SALOMON,ANGL,,,,,,,,,,,,,,,,,,,,,,,
APOLLO POWER,APLP,,,,,,,,,,,,,,,,,,,,,,,
AQUARIUS EN,AQUA,,,,,,,,,,,,,,,,,,,,,,,
ARAD,ARD,,,,,,,,,,,,,,,,,,,,,,,
ARAD INVESTMENT,ARAD,,,,,,,,,,,,,,,,,,,,,,,
ARAN,ARAN,,,,,,,,,,,,,,,,,,,,,,,
ARGO PROP.,ARGO,,,,,,,,,,,,,,,,,,,,,,,
ARI RAEL ESTATE,ARIN,,,,,,,,,,,,,,,,,,,,,,,
ARYT,ARYT,,,,,,,,,,,,,,,,,,,,,,,
ASHOT,ASHO,,,,,,,,,,,,,,,,,,,,,,,
ASHTROM GROUP,ASHG,,,,,,,,,,,,,,,,,,,,,,,
ASPEN GROUP,ASGR,,,,,,,,,,,,,,,,,,,,,,,
ATREYU CAP,ATRY,,,,,,,,,,,,,,,,,,,,,,,
AUDIOCODES,AUDC,,,,,,,,,,,,,,,,,,,,,,,
AUGWIND,AUGN,,,,,,,,,,,,,,,,,,,,,,,
AURA,AURA,,,,,,,,,,,,,,,,,,,,,,,
AURA SMART,AUSA,,,,,,,,,,,,,,,,,,,,,,,
AUSTRALIA ISR,AUIS,,,,,,,,,,,,,,,,,,,,,,,
AUTO BANK SERV,SHVA,,,,,,,,,,,,,,,,,,,,,,,
AUTOMAX,AMX,,,,,,,,,,,,,,,,,,,,,,,
AVERBUCH,AVER,,,,,,,,,,,,,,,,,,,,,,,
